Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,16.66583389,16.53878068,16.50420741,16.54033699,16.57632096,16.57402228,16.59871745,16.52884664,16.40139442,16.27973811,16.21113056,16.18894786,16.16763482,16.14825849,16.11298075,16.05798599,16.08180582,15.99889454,15.86292227,15.75493851,15.73061881,15.69216412,15.75868198,15.87660262,15.95846866,15.95211376,16.03530711,15.927639,15.67773987,15.35448522,15.00774886,14.5505873,14.06310558,13.57061777,13.09274022,12.64060199,12.17046893,11.81256567,11.53730055,11.30374894,11.08196673,10.94644744,10.80766622,10.67803441,10.59211305,10.57725442,10.64234966,10.74623027,10.87060274,10.97941207,11.05553291,11.17824574,11.16901968,11.07003362,10.9356059,10.80117265,10.61552663,10.4496118,10.29983303,10.15111523,9.991072704
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,49.7,,57,,,,,,,,56.3,,,,,59.9,59.9,,,,,,,,,,,,54.6,,,,
Net migration,SM.POP.NETM,,,106550,,,,,199359,,,,,222659,,,,,73316,,,,,180998,,,,,-118001,,,,,852860,,,,,639902,,,,,788982,,,,,862221,,,,,919697,,,,,727026,,,
Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.20000076,34.20999908,38.40000153,37.18000031,33.65999985,33.36999893,32.68000031,31.60000038,28.32999992,29.45000076,30.54999924,31.02000046,,31.22999954,31.65999985,31.45999908,32.70999908,33.29000092,32.65000153,34.91999817,35.47999954
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.86000061,17.98999977,14.59000015,16.07999992,14.39000034,15.61999989,14.60999966,13.40999985,20.12000084,21.27000046,20.26000023,18.39999962,20.32999992,20.48999977,19.29999924,19.98999977,20.29999924,20.70000076,20.86000061,20.01000023,25.82999992
"Labor force with advanced education, male (% of male working-age population with advanced education)",SL.TLF.ADVN.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.87000275,87.22000122,88.33000183,89.20999908,85.98000336,83.12999725,85.62999725,87.58999634,90.05000305,89.15000153,88.13999939,88.33000183,,89.22000122,88.12999725,86.86000061,86.37000275,87.79000092,86.98000336,85.52999878,81.34999847
"Children in employment, work only, female (% of female children in employment, ages 7-14)",SL.TLF.0714.WK.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,
"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.04000092,83.76999664,83.51999664,83.26000214,82.91000366,82.77999878,82.56999969,82.25,81.94000244,81.69999695,81.47000122,81.26000214,81.33000183,81.51999664,80.76999664,80.30000305,82.22000122,84.11000061,84.48000336,84.15000153,84.31999969,84.58000183,85.13999939,85.87000275,85.41000366,84.87999725,84.52999878,84.43000031,83.66000366,
"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.389999866,6.510000229,6.599999905,6.710000038,6.929999828,6.989999771,7.099999905,7.269999981,7.449999809,7.579999924,7.679999828,7.769999981,7.829999924,7.889999866,7.840000153,8.390000343,7.489999771,5.690000057,5.440000057,5.550000191,5.550000191,5.329999924,5.340000153,5.300000191,5.159999847,5.53000021,5.550000191,5.25,5.670000076,
"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,,,27.6,,,,25.9,,,,,20.4,,,13.8,,13.6,,,,15.1,,,,,,
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.09321191,89.60384786,84.10644538,83.99153399,83.98733121,85.17385444,85.62590079,83.72823637,81.26041542,78.86722536,81.21281373,82.47331799,81.68534401,83.90847152,60.6426136,63.2967005,64.26664956,64.76938103,66.73928945,67.59127014,
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.438902855,,,,,,,,,,0.220578581,,,,,0.187842891,,,0.546350181,,0.004647844,,,,0.120764211,,,,,,
"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1.8,0.7,2,,,
"People using safely managed sanitation services, rural (% of rural population)",SH.STA.SMSS.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,,5.1,6.7,6.7,,,
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",SH.STA.AIRP.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,,,,,,0.488,,,,,,,,,,0.539,,,0.551,,,,,,,,,0.613,,,,,0.624,,,,0.593,,,,,,,,0.7365,,,0.6988,0.6968,0.7074,0.7207,0.7227,0.7277,0.7422,0.7541,0.7814,0.7675,0.7833,0.7874,0.7923,
"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.5,0.9,1.4,2.2,3,3.8,4.5,5.1,5.5,5.9,6.1,6.1,6,5.8,5.6,5.3,5,4.8,4.6,4.4,4.2,4.1,4,3.9,3.9,3.8,3.7,3.7,3.6,3.5
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,,,,,,,,,,,,,,,130.5,123.7,117.2,111.1,105.4,100,95,90.2,85.8,81.7,77.9,74.4,71.1,68.1,65.3,62.9,60.9,59.6,58.9,59.1,60.1,61.7,63.8,65.6,67.8,70,71.5,73.1,74.3,75.7,77.7,78.8,79.2,75.3,68.9,60.3,52,45.6,41.5,39.3,37.6,36.3,35.2,34.6,33.9,33,32.2
Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5372,5585,5784,5952,6102,6197,6318,6398,6458,6525,6633,6833,7075,7311,7457,7468,7348,7097,6750,6342,5913,5475,5061,4683,4341,4025,3741,3481,3244,3019,2807
"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.41667,,,,,,,,,,6.45833,,,,,,,,,,
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.43549347,,97.54563904,96.93054962,97.03605652,96.35668945,95.10825348,97.08744812,97.63751221,100,97.62658691,98.27783966,98.58155823,96.60224915,96.38568115,,95.05354309,95.79428101,96.73812103,96.7733078
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.065219879,,8.245189667,,8.017760277,
"Trained teachers in lower secondary education, female (% of female teachers)",SE.SEC.TCAQ.LO.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pupil-teacher ratio, lower secondary",SE.SEC.ENRL.LO.TC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.16471,,,,,,,,,,
"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.09897995,,,,,,,,,67.30893707,,86.40531921,73.10848236,70.67562103,,,,,,,,,,,,78.01068115,,76.751297,76.88028717,
"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4934082,69.91835785,69.60957336,75.57095337,,,,,,,,,,,,,,,,,,
"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1029,41.69719,,37.57013,43.32287,43.91283,54.77552,53.60486,,,,,,,,,,,,37.7964,,,
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,,,,,,,,,,,35.58335114,,,,,,,,,,,,,,,32.42298889,,,,,,,,,,,,,,,,60.3243103,67.03521729,68.68013763,69.99429321,69.9786911,70.86061096,72.30648041,71.95645142,75.86784363,76.54914856,77.92388153,79.50721741,,80.61300659,80.89074707,,84.82907867,,74.72512054,
"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,,,,,,,,,,,0.989040017,,,,,,,,,,,,,,,,0.992160022,0.991400003,0.991270006,1.00327003,1.002400041,1.000820041,,,0.97773999,0.991509974,,0.9824,0.982609987,0.979179978,0.958949983,0.971360028,0.973479986,0.970459998,0.966229975,0.966229975,0.96499002,0.969640017,0.969330013,0.965659976,0.961709976,0.959550023,0.958239973,0.957830012,0.961239994,0.933380008,0.968039989,0.966669977,0.961589992,0.965240002,
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.536733418,,,,,,,,,0.727636968,,,,,,
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.729679775,,,,,,,,,,,,,,,
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,377999849,366799853.4,396199841.7,442399823.2,515199794.1,529199788.5,573999770.6,649599740.4,730799708,956199617.9,1079399569,1208025118,1212396777,1560610709,1796970307,1913434971,1915899998,2391999998,2948599998,3711301802,4825163344,5257646663,5780906677,6097298269,5802298213,4601388719,5309335612,6873659567,8223121729,9200521223,10306027632,10347662333,10052945302,10799951036,11820716458,13163684486,12207568674,12708984375,12218946150,12244864555,12094008473,10662082423,9998292334,15517733684,22396241312,26734860755,29141696818,31958440969,28290078923,27110117186,34697590559,40204514468,40182828049,37954550165,36431891114,34432227250,32002202763,36486415432,40598387475,39156377177,31788068606
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51361E+11,2.59898E+11,2.6111E+11,2.71118E+11,2.86442E+11,3.01219E+11,3.19167E+11,3.33321E+11,3.38201E+11,3.5114E+11,3.74167E+11,3.90017E+11,4.13378E+11,4.32679E+11,4.67677E+11,5.07562E+11,5.52341E+11,5.9003E+11,6.21365E+11,6.21667E+11,6.48436E+11,6.80231E+11,6.80727E+11,7.12858E+11,7.23516E+11,7.41514E+11,7.52968E+11,7.68263E+11,7.98281E+11,8.15895E+11,7.79114E+11
GDP per capita (constant LCU),NY.GDP.PCAP.KN,48954.81858,49605.00393,51376.09169,53794.70339,56611.96916,58564.09946,59615.15902,62281.36729,63210.15016,64485.37043,66105.70454,67123.24358,66427.84885,67630.27769,69894.18933,69266.21867,69065.58375,67322.51687,67670.37756,68498.02605,71167.46215,72998.08897,70746.89191,67551.10141,69105.2541,66518.91232,64907.86449,64722.19364,65897.43723,65918.41858,64154.71038,61955.23279,59136.06038,58413.73975,58900.43349,59448.82347,60823.11088,61320.89832,60647.26564,61183.5645,62861.2756,63703.49834,65231.06378,66337.90979,68519.80017,71248.27657,74296.11269,77274.26831,78683.36245,76402.54214,77587.60106,78834.95006,79457.52668,80136.36745,79992.36191,79817.33768,79173.76149,78963.71299,79052.95894,78107.41327,72158.84992
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,7.77103E+11,8.07827E+11,8.57364E+11,9.14631E+11,9.80435E+11,1.03709E+12,1.08304E+12,1.14668E+12,1.20033E+12,1.26773E+12,1.33313E+12,1.39131E+12,1.41822E+12,1.47231E+12,1.55145E+12,1.58258E+12,1.62797E+12,1.62765E+12,1.67405E+12,1.73964E+12,1.8466E+12,1.9391E+12,1.92588E+12,1.88389E+12,1.98253E+12,1.97531E+12,1.9755E+12,2.00644E+12,2.08264E+12,2.13373E+12,2.11766E+12,2.09398E+12,2.04759E+12,2.07625E+12,2.13854E+12,2.20269E+12,2.29521E+12,2.35488E+12,2.37137E+12,2.43539E+12,2.54255E+12,2.61629E+12,2.71572E+12,2.79668E+12,2.92247E+12,3.07772E+12,3.2478E+12,3.42354E+12,3.53607E+12,3.48548E+12,3.58729E+12,3.69809E+12,3.78207E+12,3.87698E+12,3.9365E+12,3.98176E+12,4.01465E+12,4.06124E+12,4.12123E+12,4.12446E+12,3.87936E+12
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,2.016531105,10.89077629,2.599581057,-8.084896823,-4.214348986,-3.110508522,2.366996084,0.509455472,7.354195829,-2.123763981,-2.356284082,-0.731261015,5.754701066,-8.535356949,-4.22339134,4.611206331,1.330800707,0.569705352,-1.576960267,-0.281988651,-0.512497476,-6.350763543,-0.103025249,2.299036841,1.788013445,1.132277882,-0.936973331,0.068677649,3.102816757,0.34013879,6.286673974,4.032750726,3.470233,5.383717975,5.197976593,2.516856838,-4.092461499,2.826623246,2.379974152,2.2295461,0.311114948,0.403479087,0.65792852,1.453137784,-1.746294567,1.200391908,-1.708181826,-0.896010452,
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,,,,,,,,,,,11.72641845,12.21577023,12.77211842,12.08719256,12.00542855,13.77191269,15.2810724,15.93683868,16.37356215,16.27790944,14.57329979,15.19075282,16.48170388,17.00580926,16.48007372,17.46146758,18.6934452,17.94923951,17.28654278,17.10550772,16.72785973,15.78682275,15.14133329,14.27000087,13.8600744,13.86612892,13.57246537,13.5181488,13.85281311,14.11647839,13.75489201,13.81490387,13.50126019,13.22944916,12.46514961,12.2653169,12.55665789,12.9215584,13.70399877,14.04992664,13.47496598,13.23355536,13.50652947,14.01108716,14.18293165,14.18951325,14.57957161,14.15107366,14.3327758,14.45099218,
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.84793234,30.53868722,24.08106769,29.41470468,30.23004905,31.75109985,30.62968774,30.43757693,29.36857444,23.7044322,24.24063941,25.61631862,25.46015102,25.05675245,25.20797278,25.5788194,25.99937925,24.5372878,23.55712914,24.96186336,25.1644317,24.42803382,24.42803382,24.42803382,24.42803382,24.42803382,24.42803382,24.42803382,24.42803382,24.42803382,
"Manufacturing, value added (current US$)",NV.IND.MANF.CD,1455999418,1581999368,1695399323,1941799224,2199399121,2490599005,2675398931,2893798844,3133198748,3585398567,3987198407,4249060573,4331846854,6008999683,7340940125,8256843767,8016649993,8154649993,9217249992,11815597322,17010048956,19319059714,17281936244,19163450322,16527060167,11916497474,13679460315,18340564169,19997206910,21170349767,24965979931,26097128164,27343969144,31481083820,32262185451,36488118717,33083666713,33649145378,29568179712,28070154137,28784983443,25781677229,24619923895,36452905508,46019138520,50178131209,47388697231,51433262554,49344088934,47839927210,57845020079,58932824958,54224447021,49576674421,47576330742,43400939046,40395264202,47729563003,50313949675,47815659769,39392662940
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,24.56107928,21.29938543,20.65897858,23.19120487,25.51956815,26.77865613,23.1388102,24.22518037,22.22953285,22.46787919,24.63514746,25.35240322,22.17078816,22.10034432,27.70891643,29.23437167,28.06874234,24.4504795,24.8726718,25.00257525,26.54576964,29.41741229,26.02022242,20.34705822,22.92732945,21.86958899,21.07732891,19.70511093,21.90257,20.72376273,18.1877172,16.95276775,16.78372159,15.78375772,17.56527136,19.44017317,20.42450851,20.64074257,21.51647352,19.98908004,21.81641842,22.81428455,25.03433441,21.80858921,22.88605644,23.82801691,27.66989139,29.16617474,33.71985013,24.60478884,24.62266954,26.93820197,28.443468,30.49574731,30.49895475,29.01303773,27.70516933,26.19585605,27.01899545,26.80806576,23.3488345
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,1.0113E+11,1.01223E+11,98872168572,1.16524E+11,1.39436E+11,1.63767E+11,1.61906E+11,1.66083E+11,1.736E+11,1.95359E+11,2.2324E+11,2.47374E+11,2.61826E+11,2.75498E+11,2.93487E+11,3.22124E+11,3.18145E+11,2.99177E+11,2.90882E+11,3.03006E+11,3.54752E+11,3.86518E+11,3.78211E+11,3.64817E+11,3.59383E+11,3.34132E+11,2.72068E+11,2.58147E+11,2.90631E+11,3.09534E+11,3.0229E+11,2.79956E+11,2.65229E+11,2.63758E+11,2.85511E+11,3.16035E+11,3.44504E+11,3.64285E+11,3.81645E+11,3.52658E+11,3.66291E+11,3.76726E+11,3.89884E+11,4.29796E+11,4.85141E+11,5.38428E+11,6.03818E+11,6.86895E+11,7.74973E+11,7.2323E+11,6.94935E+11,7.42493E+11,7.55542E+11,7.96023E+11,7.85537E+11,7.96138E+11,7.80757E+11,7.64883E+11,7.51386E+11,7.33262E+11,6.24072E+11
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,5035000000,5204000000,5481000000,6228000000,7044000000,7810000000,8276000000,9315000000,10021000000,11382000000,13059000000,15046000000,16018000000,19008000000,23689000000,28802000000,32150000000,35248000000,38898000000,46025000000,61504000000,76609000000,83586000000,97012000000,1.13258E+11,1.25227E+11,1.47259E+11,1.70109E+11,2.12131E+11,2.56648E+11,2.96943E+11,3.40678E+11,3.77403E+11,4.62226E+11,5.40323E+11,6.16219E+11,6.91507E+11,7.71536E+11,8.38149E+11,9.11922E+11,1.02419E+12,1.12524E+12,1.28582E+12,1.40733E+12,1.61335E+12,1.77406E+12,2.01471E+12,2.31568E+12,2.64811E+12,2.75415E+12,2.99325E+12,3.32642E+12,3.62725E+12,3.95051E+12,4.19581E+12,4.47824E+12,4.73809E+12,5.02008E+12,5.33248E+12,5.57376E+12,5.28087E+12
Households and NPISHs Final consumption expenditure (constant 2015 US$),NE.CON.PRVT.KD,31762683072,32444408584,33455127790,35613269165,38529599053,39914760321,41778978396,43653813019,46864185494,50126924987,53412448307,55926184389,58317889815,62738906599,66029678549,68426751893,69505822580,68901872228,70031997774,71765954387,77930351460,83622252514,85376487925,87942591024,91983678542,88804201413,88945079423,92374224356,97280620161,99946327949,1.02818E+11,1.02287E+11,1.00831E+11,1.02737E+11,1.06854E+11,1.13187E+11,1.18248E+11,1.221E+11,1.24228E+11,1.26387E+11,1.31617E+11,1.36214E+11,1.40536E+11,1.44515E+11,1.53534E+11,1.62951E+11,1.77251E+11,1.88805E+11,1.91091E+11,1.8614E+11,1.96724E+11,2.04699E+11,2.11303E+11,2.1458E+11,2.16125E+11,2.20789E+11,2.22296E+11,2.26106E+11,2.31545E+11,2.33992E+11,2.18811E+11
"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,106400,,,,100000,85000,80000,75000,75000,75000,276900,277900,217440,211700,78150,71600,67000,60000,55700,55000,56000,103000,62000,62000,77153,77153,77582,62100,77150,82250,82150,81400,80000,89650,90000,
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,3.801281182,3.80128,3.80128,3.80128,3.80128,3.894795939,3.8948,3.8948,3.8948,3.8948,4.150472574,4.15047,4.15047,4.15047,4.15047,4.588177893,4.756764824,4.946959344,5.15126498,5.419134865,5.714932246,6.097581971,6.42318814,6.684626627,6.761467619,7.031371399,7.561152238,7.780658468,8.165099086,8.57313864,9.008087361,9.106266214,8.942055549,9.0676532,9.307143055,9.658758988,10.0817639,10.80562772,11.61894325,12.38840437,11.03401356,10.80605734,10.65417709,10.50959867,10.36758952,10.22543556,10.08260373,9.938973846,9.793193664,9.643994174,9.490995991,9.333941366,9.17424976,7.218830006,6.687733868,7.458613417,8.046681051,8.437282208,5.788707805,3.457632884,3.538776527
Logistics performance index: Ability to track and trace consignments (1=low to 5=high),LP.LPI.TRAC.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,,,3.73,,3.83,,3.302093,,3.915447,,3.41,,
